"ID",知识类型,题干,题目类型,题目内容,选项A,选项B,选项C,选项D,正确答案,解析
FLUSH9,frontend,下列关系选择器例子中，用于匹配相邻选择器，即匹配兄弟元素的是,single,,#demo+div,#demo div,#demo>div,#demo~div,A,"同花顺前端笔试第九题

#demo+div 是相邻兄弟选择器，匹配紧跟在 #demo 后面的同级 div 元素；#demo div 是后代选择器；#demo>div 是子选择器；#demo~div 是通用兄弟选择器（匹配之后所有同级 div）。题目要求“相邻选择器，即匹配兄弟元素”特指相邻兄弟，因此选 A。"
FLUSH10,frontend,多线程和多进程的程序各有什么优缺点？分别用在什么场合？,shortanswer,,,,,,,"""多线程的优点：共享内存、通信高效、切换开销小；缺点是同步复杂、一个线程崩溃可能影响整个进程。适合I/O密集型或需要频繁数据共享的场合（如Web服务器）。
多进程的优点：地址空间隔离，一个进程崩溃不影响其他进程，稳定性高；缺点是创建和切换开销大、进程间通信（IPC）较复杂。适合CPU密集型或对可靠性要求高的场合（如Chrome浏览器每个标签页独立进程）。"""
FLUSH11,frontend,至少说出四种以上Linux的版本,shortanswer,,,,,,Ubuntu、Debian、CentOS、Red Hat Enterprise Linux (RHEL)、Kali Linux,"""Debian：以稳定和自由软件原则为核心，采用严格的软件包测试流程，是许多其他发行版的基础。
Ubuntu：基于Debian，以易用性和桌面友好著称，拥有庞大的社区和丰富的软件支持，适合新手、桌面用户及服务器。
Red Hat Enterprise Linux (RHEL)：商业企业级发行版，提供长期支持、认证和专业服务，广泛应用于关键业务环境。
CentOS：曾是RHEL的免费克隆版，提供企业级稳定性，常用于服务器，但目前已转向CentOS Stream（滚动发布）。
Kali Linux：基于Debian，专为渗透测试和安全审计设计，预装大量安全工具。"""
FLUSH12,frontend,一网络的子网掩码为255.255.255.240问该网络能够连接多少个主机？,shortanswer,,,,,,14,255.255.255.240二进制为11111111.11111111.11111111.11110000，即前28位为网络位，后4位为主机位。因此可分配的 IP 地址数为 2^4 = 16，减去网络地址和广播地址，实际可用主机数为 14。
FLUSH13,frontend,请用你擅长的语言，编写一个函数，实现字符串的大小写转换功能。,shortanswer,比如输入“welcome to myhexin”，输出“WELCOME TO MYHEXIN”,,,,,,"""// 1. 使用已有函数
function swapCase(str, flag){
    if(flag === true) return str.toUpperCase();
    else return str.toLowerCase();
}

// 2. 手动实现
function UpChar(str){
    // 转换大写字母功能实现
    let res = '';
    for(let i=0;i<str.length;i++){
        if('a'<=str[i] && str[i]<='z') res += String.fromCharCode(str.charCodeAt(i) - 32);
        else res += str[i];
    }
    return res
}

function LowChar(str){
    // 转换小写字母功能实现
    let res = '';
    for(let i=0;i<str.length;i++){
        if('A'<=str[i] && str[i]<='Z') res += String.fromCharCode(str.charCodeAt(i) + 32);
        else res += str[i];
    }
    return res
}

function swapCase(str, flag){
    if(flag === true) return UpChar(str);
    else return LowChar(str);
}"""
FLUSH14,frontend,请编写一个函数，输入某个人的生日后，可以计算出今年还有多少天过生日。,shortanswer,,,,,,,"/*
    @param {string} birthDate - The birth date in YYYY-MM-DD format
    @returns {number} The number of days until the next birthday
*/
function getDaysUntilBirthday(birthDate){
    const now = new Date();
    const birth = new Date(birthDate);
  
    const nowYear = now.getFullYear();
    const birthMonth = birth.getMonth();      // 0-11
    const birthDay = birth.getDate();         // 1-31

    // 创建今年的生日日期（时间部分设为 00:00:00）
    let nextBirthday = new Date(nowYear, birthMonth, birthDay);
    nextBirthday.setHours(0, 0, 0, 0);

    const today = new Date(now);
    today.setHours(0, 0, 0, 0);

    // 如果今年的生日已经过了，计算明年的生日
    if (nextBirthday < today) {
        nextBirthday = new Date(nowYear + 1, birthMonth, birthDay);
        nextBirthday.setHours(0, 0, 0, 0);
    }

    // 计算天数差
    const timeDiff = nextBirthday.getTime() - today.getTime();
    const daysUntil = Math.round(timeDiff / (1000 * 60 * 60 * 24));

    return daysUntil;
}

console.log(getDaysUntilBirthday('1990-05-01'));  // 今年生日还没到：正数
console.log(getDaysUntilBirthday('1990-01-01'));  // 今年生日已过：计算明年
console.log(getDaysUntilBirthday('1990-04-20'));  // 今天生日：0
console.log(getDaysUntilBirthday('2000-02-29'));  // 闰年生日：测试边界"
FLUSH15,frontend,表达式B*（A-C)/（D+E-F）的后缀表达式是,shortanswer,,,,,,BAC-DE+F-/,根据运算符优先级和括号，先计算括号内的减法 A-C 得 AC-，然后乘以 B 得 BAC-，再计算分母部分 D+E-F，其中加法和减法同级从左到右，先 D+E 得 DE+，再减 F 得 DE+F-，最后做除法，因此后缀表达式为 BAC-*DE+F-/。
FLUSH16,frontend,很多IM有消息已读标志，请简述下发一个消息到界面展示已读，数据在客户端和网络上的流程。,shortanswer,,,,,,核心流程：[发送方A] → [IM服务器] → [接收方B] → [B点击阅读] → [服务器] → [A界面更新],"发送方客户端生成消息并分配唯一ID，通过TCP长连接将消息数据包（含ID、内容、会话信息等）发送到IM服务器；服务器接收后存储消息，并立即向发送方返回“已送达”确认，同时将消息推送给接收方客户端（若在线）或暂存等待拉取。
接收方客户端收到消息后展示在聊天界面，当用户打开该会话或主动阅读消息时（例如进入聊天窗口、消息滚动到可视区域），客户端自动构造“已读回执”数据包（包含消息ID和会话ID），通过TCP连接发送给服务器；服务器更新消息状态为“已读”，并将该回执转发给发送方客户端。
发送方客户端收到已读回执后，更新本地界面中对应消息的标识（例如从“已送达”改为“已读”）。整个过程基于TCP协议保证可靠传输，数据格式常采用JSON或Protobuf，服务器作为中转中心完成消息存储、推送及状态同步。"
FLUSH17,frontend,请例举常见的序列化协议，并简要描述优缺点。,shortanswer,,,,,,,"序列化协议是指将内存中的数据结构、对象或状态转换为一种可存储或可网络传输的格式（如字节序列、字符串等）的约定与规则，并能够通过反序列化将这种格式还原为原始的数据结构。其核心目的是解决跨进程、跨网络、跨语言的数据交换问题。
常见序列化协议及优缺点：
JSON：优点是可读性强、跨语言、使用广泛；缺点是数据体积较大、解析性能一般、不支持二进制数据。
XML：优点是结构清晰、支持复杂元数据；缺点是冗余度高、解析慢、体积大。
Protocol Buffers (Protobuf)：优点是二进制格式、体积小、序列化/反序列化速度快、支持跨语言和多版本兼容；缺点是可读性差、需要预先定义.proto文件。
Thrift：优点是支持多种序列化格式（二进制、压缩等）和多种传输协议，性能高；缺点是学习成本较高，配置复杂。
MessagePack：优点是二进制紧凑、比JSON更小更快、保留JSON语义；缺点是可读性差、工具链相对少。
Avro：优点是依赖动态schema、适合大数据场景（如Hadoop），支持模式演化；缺点是可读性差、需要Schema注册。"
FLUSH18,frontend,完全二叉树最适合用什么方法存储，为什么？,shortanswer,,,,,,顺序存储（数组）,完全二叉树的节点编号与数组下标一一对应（根节点为1或0，左子节点为2i，右子节点为2i+1），可以紧凑地存储而无需指针，能充分利用数组空间且无存储碎片，同时支持随机访问父节点和子节点，存储效率高。
FLUSH19,frontend,给定两个字符串，确定其中一个字符串重新排列后是否可以包含另外一个字符串？,shortanswer,"例如
给出字符串：ac 以及 abc，对字符串abc重新排列生成acb包含字符串ac，返回true",,,,,,"/**
 * @param {string} target
 * @param {string} source
 * @return {boolean}
 */
var canBeFormedFrom = function(target, source) {
    // 统计 source 中每个字符的频次
    const freq = {};
    for (const ch of source) {
        freq[ch] = (freq[ch] || 0) + 1;
    }
    // 检查 target 的每个字符是否都能从 source 中取到足够数量
    for (const ch of target) {
        if (!freq[ch]) return false;
        freq[ch]--;
    }
    return true;
};"
FLUSH20,frontend,请列举你日常学习的渠道，比如哪些网站、博客等。以及描述一下你认为的高效学习方式。,shortanswer,,,,,,,
FLUSH21,frontend,输出1到999中所有不包含5的整数。编程用c/c++/python或者java实现。,shortanswer,,,,,,,"def hasNoFive(n):
    while n > 0:
        if n % 10 == 5:
            return False
        n //= 10
    return True

for i in range(1,1000):
    if hasNoFive(i):
        print(i) "
FLUSH22,frontend,有一个非空的乱序数组，其中有若干个0。请将所有的0，移动到数组末尾。编程用c++/python/java其中的一种实现,shortanswer,,,,,,,"class Solution(object):
    def moveZeroes(self, nums):
        """"""
        :type nums: List[int]
        :rtype: None Do not return anything, modify nums in-place instead.
        """"""
        count0 = nums.count(0)
        for i in range(count0):
            nums.remove(0)
            nums.append(0)
        return nums"
FLUSH23,frontend,阅读下列代码，请问最终p标签的背景色是？并说出至少2点该样式生效的理由,shortanswer,"html: 
	<div id-""box""class-""box""><p id-""tag""class-""tag""></p></div>
CSS:
	p {background:#000}
	#box p {background:#001}
	#tag {background:#002}
	.box .tag{background:#003}
	 div #tag{background:#004}
	.box p{background:#005}",,,,,#004,"第1梯队：
  ├─ #box p     → 0,1,0,1
  └─ div #tag   → 0,1,0,1  ← 同权重，后声明覆盖前者
  
第2梯队：
  └─ #tag       → 0,1,0,0  ← 少一个元素选择器
  
第3梯队：
  ├─ .box .tag  → 0,0,2,0
  └─ .box p     → 0,0,1,1
  
第4梯队：
  └─ p          → 0,0,0,1"
FLUSH24,frontend,创建一个节点，插入到页面中。设置其背景为红色，宽100px，高100px，样式名称demo，绑定点击事件，点击后该节点隐藏,shortanswer,,,,,,,"// 创建节点
var demo = document.createElement('div');
// 设置类名
demo.className = 'demo';
// 设置样式：背景红色，宽100px，高100px
demo.style.backgroundColor = 'red';
demo.style.width = '100px';
demo.style.height = '100px';
// 绑定点击事件，点击后隐藏
demo.addEventListener('click', function() {
    demo.style.display = 'none';
});
// 插入到页面中
document.body.appendChild(demo);"
FLUSH25,frontend,页面中有一个节点A，请实现点击它，让网页中所有宽度大于100px的图片隐藏,shortanswer,,,,,,,"let A = document.getElementById('A');
A.onclick = function() {
    let imgs = document.querySelectorAll('img');
    imgs.forEach(function(img) {
        let width = img.offsetWidth;
        if (width > 100) {
            img.style.display = 'none';
        }
    })
}"
FLUSH26,frontend,"页面中有一个节点A，内部有子节点B（class=“b""）和c(class=""c""），请实现以下功能，在A上面设置点击事件，A发生单击事件时，分辩出当前被点击对象是B还是C",shortanswer,,,,,,,"let A = document.getElementById('A');
A.onclick = function(e) {
    const target = e.target;
    if (target.classList.contains('b')) {
        console.log('当前点击对象是 B');
    } else if (target.classList.contains('c')) {
        console.log('当前点击对象是 C');
    }
}"
FLUSH27,frontend,chrome中打开一个网页看到<script src-xx.js/script>这样的标签放在了body底部，如果是你，你会在什么样的前提下这么做？,shortanswer,,,,,,,该脚本的加载和执行，可以且应该发生在页面主要内容渲染完成之后。
FLUSH28,frontend,请将以下字符串中的div加粗,shortanswer,"`<div id=""content"">otherdivabc<div>3adiv4b</div>d</div> `
例如：比如替换成下面形式
`<div id-""content>other<span style='font-weight:bold;'>div</span>abc<div>3a<span style='font-weight:bold;'>div</span>4b</div>d</div>`",,,,,,"function boldDivOutsideTags(html) {
    return html.replace(/(<[^>]*>)|(div)/g, function(match, tag, div) {
        if (tag) return tag; // 保留标签
        if (div) return '<span style=""font-weight:bold;"">div</span>';
    });
}
const contentDiv = document.getElementById('content');
contentDiv.innerHTML = boldDivOutsideTags(contentDiv.innerHTML);"
FLUSH29,frontend,以下代码是否有问题，如果有请说明理由并进行改进 ,shortanswer,"<ul>
	<li>text1</li> 
	<li>text2</li>
</ul>
<script>
	var lis=document.querySelectorAll(""li"");
	lis.forEach(function(li,i){
		li.addEventListener(""click"",function(e) {
			console.log(lis[i].innerText);
		})
	})
</script>",,,,,,"这段代码存在一个经典的 JavaScript 闭包陷阱，但在这个特定写法中恰好能正常工作，不过仍有潜在风险。
为什么这里能工作？
	forEach 的回调函数 每次迭代都会创建新的作用域，参数 i 是该作用域的局部变量，每个闭包捕获的是各自迭代中独立的 i 值。
更健壮的写法:
lis.forEach(function(li) {
    li.addEventListener(""click"", function(e) {
        console.log(this.innerText);      // this 指向被点击的 li
        // 或
        console.log(e.target.innerText);  // 事件目标
    });
});"
FLUSH30,frontend,不少于3种方式实现多维数组实现降维（扁平化）,shortanswer,"如[[1, 2], [3, [4, [5, 6]]]] ->[1, 2, 3, 4, 5, 6]",,,,,,"1. 使用原生 Array.prototype.flat(Infinity)
const arr = [[1, 2], [3, [4, [5, 6]]]];
const flatArr = arr.flat(Infinity);
console.log(flatArr); // [1, 2, 3, 4, 5, 6]
2. 递归 + reduce
function flatten(arr) {
    return arr.reduce((acc, val) => 
        acc.concat(Array.isArray(val) ? flatten(val) : val), []);
}
console.log(flatten(arr));
3. 递归 + forEach + 扩展运算符
function flatten(arr) {
    let result = [];
    arr.forEach(item => {
        if (Array.isArray(item)) {
            result.push(...flatten(item));
        } else {
            result.push(item);
        }
    });
    return result;
}
console.log(flatten(arr));"
